;mass A;;
t;x;y;
3,333333E−1;5,084293E−2;2,753142E−1
3,666667E−1;6,242295E−2;2,637342E−1
4,000000E−1;7,507569E−2;2,621042E−1
4,333333E−1;8,819204E−2;2,595022E−1
4,666667E−1;1,027746E−1;2,566590E−1
5,000000E−1;1,184333E−1;2,530811E−1
5,333333E−1;1,353655E−1;2,489620E−1
5,666667E−1;1,539117E−1;2,438744E−1
6,000000E−1;1,740216E−1;2,372609E−1
6,333333E−1;1,963328E−1;2,289159E−1
6,666667E−1;2,204061E−1;2,179166E−1
7,000000E−1;2,471118E−1;2,057905E−1
7,333333E−1;2,767621E−1;1,915125E−1
7,666667E−1;3,093098E−1;1,762985E−1
8,000000E−1;3,399146E−1;1,646607E−1
8,333333E−1;3,707947E−1;1,500784E−1
8,666667E−1;4,216494E−1;1,379003E−1
9,000000E−1;4,661487E−1;1,314870E−1
9,333333E−1;5,116311E−1;1,294948E−1
9,666667E−1;5,697995E−1;1,320650E−1
1,000000E0;6,079707E−1;1,367828E−1
1,033333E0;6,509160E−1;1,427213E−1
1,066667E0;6,921562E−1;1,497205E−1
1,100000E0;7,298318E−1;1,561743E−1
1,133333E0;7,701834E−1;1,635302E−1
1,166667E0;8,077127E−1;1,664968E−1
1,200000E0;8,446740E−1;1,668092E−1
1,233333E0;8,816045E−1;1,641228E−1
1,266667E0;9,183459E−1;1,586261E−1
1,300000E0;9,564313E−1;1,500144E−1
1,333333E0;9,959852E−1;1,360050E−1
1,366667E0;1,036271E0;1,183133E−1
1,400000E0;1,078858E0;9,700434E−2
1,433333E0;1,131392E0;7,665525E−2
1,466667E0;1,177382E0;5,943358E−2
1,500000E0;1,231168E0;5,014684E−2
1,533333E0;1,286611E0;4,645812E−2
1,566667E0;1,346090E0;4,199820E−2
